Project Name,Java File,Line No.,Abbreviation2BeTested,EnclosingIdentifier,Contexts,Type of Identifiers,Full Terms,URL,Necessity4Expansion(manual Label),Necessity4Expansion(Prediction),Java Command 2 Test This Item
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\compiler\support\ClassUtils.java,52,e,e,instantiation#exception,variableName,exception,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/compiler/support/ClassUtils.java#L52,0,0,java FindCasualNames.main.smartExpander e e instantiation#exception variableName exception dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ui\tray\SwtGatewayTray.java,174,url,imageUrl,url#image#classloader#resource,variableName,uniform resource locator,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ui/tray/SwtGatewayTray.java#L174,0,0,java FindCasualNames.main.smartExpander url imageUrl url#image#classloader#resource variableName uniform resource locator davmail
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\Remote.java,47,args,args,string#main,parameterName,arguments,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/Remote.java#L47,0,0,java FindCasualNames.main.smartExpander args args string#main parameterName arguments jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\debug\jpda\JPDADebugger.java,1609,val,val,primitive#value#thread#reference#object,parameterName,value,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/debug/jpda/JPDADebugger.java#L1609,0,0,java FindCasualNames.main.smartExpander val val primitive#value#thread#reference#object parameterName value drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\Application.java,648,img,img,image#file#is#idrectory,variableName,image,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/Application.java#L648,0,0,java FindCasualNames.main.smartExpander img img image#file#is#idrectory variableName image docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\io\Bytes.java,397,bs,bs,bytes#hex#byte#off#len,parameterName,byte array,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/io/Bytes.java#L397,1,0,java FindCasualNames.main.smartExpander bs bs bytes#hex#byte#off#len parameterName byte array dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\build\BuildMain.java,177,dst,dstMainJar,string#main#jar#format,variableName,destionation,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/build/BuildMain.java#L177,1,1,java FindCasualNames.main.smartExpander dst dstMainJar string#main#jar#format variableName destionation docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\compiler\DefaultCompilerModel.java,498,ioe,ioe,catch#io#exception,variableName,io exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/compiler/DefaultCompilerModel.java#L498,0,0,java FindCasualNames.main.smartExpander ioe ioe catch#io#exception variableName io exception drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\json\GenericJSONConverter.java,479,pn,pn,string#pn#pns,forVariableName,property name,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/json/GenericJSONConverter.java#L479,1,1,java FindCasualNames.main.smartExpander pn pn string#pn#pns forVariableName property name dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\bytecode\CustomizedLoaderClassPath.java,65,cl,cl,classloader,variableName,classloader,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/bytecode/CustomizedLoaderClassPath.java#L65,0,0,java FindCasualNames.main.smartExpander cl cl classloader variableName classloader dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\browser\VFSBrowser.java,264,dwm,dwm,dockable#window#manager#view,variableName,dockable window manager,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/browser/VFSBrowser.java#L264,0,0,java FindCasualNames.main.smartExpander dwm dwm dockable#window#manager#view variableName dockable window manager jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,1194,cmd,cmd,string#attributes#get,variableName,command,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L1194,0,0,java FindCasualNames.main.smartExpander cmd cmd string#attributes#get variableName command drjava
